method,seq_len,sample_id,ppl
RoPE,1024,54,13.358231769649153
RoPE,1024,55,16.863860514969204
RoPE,1024,56,13.46594220503938
RoPE,1024,57,12.108621307315744
RoPE,1024,58,12.64152545627696
RoPE,1024,59,7.960945447694885
RoPE,1024,60,9.121210466751787
RoPE,1024,61,10.251959643783566
RoPE,1024,62,10.812828481318416
RoPE,1024,63,21.05032518011654
RoPE,1024,64,11.48922166596754
RoPE,1024,65,17.180975404147315
RoPE,1024,66,9.068929674610533
RoPE,1024,67,10.147560421641959
RoPE,1024,68,10.80032735831452
RoPE,1024,69,11.017675500574203
RoPE,1024,70,13.933482385179087
RoPE,1024,71,14.415241511486945
RoPE,1024,72,10.848398522710502
RoPE,1024,73,14.420775920472966
RoPE,1024,74,16.531707583547817
RoPE,1024,75,14.539365830596061
RoPE,1024,76,10.032202805130709
RoPE,1024,77,8.824386509122876
RoPE,1024,78,13.209464376106588
RoPE,1024,79,9.464413380760444
RoPE,1024,80,10.240417029140035
RoPE,1024,81,17.818590951232288
RoPE,1024,82,13.810743398443268
RoPE,1024,83,12.589887295411781
RoPE,1024,84,13.82839056724697
RoPE,1024,85,11.516284347717107
RoPE,1024,86,8.876139979550047
RoPE,1024,87,8.36880018084718
RoPE,1024,88,11.939519550275879
RoPE,1024,89,15.078094688183235
RoPE,1024,90,8.98472260116037
RoPE,1024,91,13.471674222150778
RoPE,1024,92,14.133726079773497
RoPE,1024,93,11.879946929312656
RoPE,1024,94,12.402142427337862
RoPE,1024,95,14.398984020974387
RoPE,1024,96,14.643948741972062
RoPE,1024,97,12.677896069796748
RoPE,1024,98,10.973732632755198
RoPE,1024,99,9.935765354232696
RoPE,2048,0,10.963050079666921
RoPE,2048,1,6.709214238607284
RoPE,2048,2,10.382389122805492
RoPE,2048,3,11.009170519686544
RoPE,2048,4,10.528053789280921
RoPE,2048,5,13.195664699768196
RoPE,2048,6,13.019642503624732
RoPE,2048,7,12.525062751124496
RoPE,2048,8,11.14802146828358
RoPE,2048,9,15.15487522272025
RoPE,2048,10,10.406154931224052
RoPE,2048,11,11.217531266330372
RoPE,2048,12,12.510990692976371
RoPE,2048,13,13.005517092113802
RoPE,2048,14,14.571962728063504
RoPE,2048,15,15.375758396125661
RoPE,2048,16,6.045461487561077
RoPE,2048,17,10.776632500440828
RoPE,2048,18,12.032803751866647
RoPE,2048,19,16.054578319071958
RoPE,2048,20,11.52414246417134
RoPE,2048,21,8.130363323520896
RoPE,2048,22,14.999757563581568
RoPE,2048,23,11.070355802761297
RoPE,2048,24,11.347262617873865
RoPE,2048,25,12.346365057565766
RoPE,2048,26,8.308977124765333
RoPE,2048,27,11.018763057121783
RoPE,2048,28,12.221345818472823
RoPE,2048,29,13.655936916324377
RoPE,2048,30,13.051165740752099
RoPE,2048,31,9.160231090196238
RoPE,2048,32,13.54219550402054
RoPE,2048,33,11.539098940341471
RoPE,2048,34,16.326031345458013
RoPE,2048,35,11.77036572418402
RoPE,2048,36,12.303994120820892
RoPE,2048,37,13.162634393067831
RoPE,2048,38,8.635973806325614
RoPE,2048,39,10.07621847995185
RoPE,2048,40,9.641891801770319
RoPE,2048,41,12.759542593750915
RoPE,2048,42,12.717487926135888
RoPE,2048,43,5.517445318064746
RoPE,2048,44,12.248056594431917
RoPE,2048,45,11.450570352951633
RoPE,2048,46,10.166361782601829
RoPE,2048,47,10.603059964394824
RoPE,2048,48,10.899892614620558
RoPE,2048,49,11.283731709593505
RoPE,2048,50,15.1952051734162
RoPE,2048,51,16.823601553475168
RoPE,2048,52,9.179255719428122
RoPE,2048,53,16.439153990745535
RoPE,2048,54,12.413439975470864
RoPE,2048,55,15.10484645780431
RoPE,2048,56,13.65522716403077
RoPE,2048,57,11.022060533103419
RoPE,2048,58,10.08590944340212
RoPE,2048,59,9.971939748708644
RoPE,2048,60,8.096677486400981
RoPE,2048,61,9.323270020550172
RoPE,2048,62,10.069722197416837
RoPE,2048,63,19.216683561141515
RoPE,2048,64,11.91628543740232
RoPE,2048,65,14.09737967120962
RoPE,2048,66,9.27231555227736
RoPE,2048,67,12.236422348830898
RoPE,2048,68,10.60040340446449
RoPE,2048,69,9.789156293303598
RoPE,2048,70,12.680985590361836
RoPE,2048,71,12.128528534457288
RoPE,2048,72,11.207610705442509
RoPE,2048,73,11.268007396256388
RoPE,2048,74,12.5817644150942
RoPE,2048,75,12.812582235354903
RoPE,2048,76,11.439461797924311
RoPE,2048,77,8.017270629473849
RoPE,2048,78,12.435354378071183
RoPE,2048,79,9.507986953653889
RoPE,2048,80,7.171637565746346
RoPE,2048,81,16.34960922847115
RoPE,2048,82,10.564205700297403
RoPE,2048,83,13.700546105306742
RoPE,2048,84,11.076866423884331
RoPE,2048,85,12.282396131837706
RoPE,2048,86,11.395545486859614
RoPE,2048,87,8.041525522840143
